Date,Open,High,Low,Close,Adj Close,Volume,Nombre
17/03/21,0.58,0.617,0.57,0.596,0.596,604117,Grupo_Famsa
18/03/21,0.594,0.615,0.58,0.604,0.604,647935,Grupo_Famsa
19/03/21,0.605,0.615,0.595,0.614,0.614,148374,Grupo_Famsa
22/03/21,0.613,0.62,0.605,0.613,0.613,423116,Grupo_Famsa
23/03/21,0.613,0.613,0.586,0.597,0.597,408700,Grupo_Famsa
24/03/21,0.598,0.598,0.57,0.579,0.579,215805,Grupo_Famsa
25/03/21,0.588,0.588,0.56,0.57,0.57,90169,Grupo_Famsa
26/03/21,0.57,0.592,0.545,0.557,0.557,162549,Grupo_Famsa
29/03/21,0.565,0.565,0.52,0.543,0.543,177033,Grupo_Famsa
30/03/21,0.527,0.543,0.527,0.53,0.53,323859,Grupo_Famsa
31/03/21,0.531,0.537,0.531,0.537,0.537,65526,Grupo_Famsa
05/04/21,0.536,0.567,0.536,0.564,0.564,166798,Grupo_Famsa
06/04/21,0.57,0.575,0.555,0.557,0.557,85441,Grupo_Famsa
07/04/21,0.557,0.557,0.541,0.555,0.555,79718,Grupo_Famsa
08/04/21,0.55,0.556,0.545,0.549,0.549,48343,Grupo_Famsa
09/04/21,0.547,0.586,0.544,0.577,0.577,473856,Grupo_Famsa
12/04/21,0.578,0.58,0.549,0.55,0.55,304335,Grupo_Famsa
13/04/21,0.549,0.58,0.549,0.573,0.573,385683,Grupo_Famsa
14/04/21,0.576,0.59,0.572,0.584,0.584,210878,Grupo_Famsa
15/04/21,0.584,0.59,0.57,0.586,0.586,80349,Grupo_Famsa
16/04/21,0.589,0.6,0.56,0.572,0.572,325782,Grupo_Famsa
19/04/21,0.573,0.578,0.56,0.562,0.562,76652,Grupo_Famsa
20/04/21,0.557,0.557,0.55,0.554,0.554,148219,Grupo_Famsa
21/04/21,0.554,0.565,0.545,0.56,0.56,485002,Grupo_Famsa
22/04/21,0.564,0.58,0.56,0.565,0.565,51582,Grupo_Famsa
23/04/21,0.563,0.58,0.556,0.568,0.568,252275,Grupo_Famsa
26/04/21,0.57,0.59,0.57,0.581,0.581,464909,Grupo_Famsa
27/04/21,0.58,0.589,0.573,0.576,0.576,60973,Grupo_Famsa
28/04/21,0.576,0.576,0.53,0.563,0.563,94250,Grupo_Famsa
29/04/21,0.563,0.563,0.532,0.545,0.545,228791,Grupo_Famsa
30/04/21,0.545,0.555,0.545,0.555,0.555,217220,Grupo_Famsa
03/05/21,0.555,0.555,0.538,0.549,0.549,168573,Grupo_Famsa
04/05/21,0.548,0.548,0.527,0.544,0.544,68548,Grupo_Famsa
05/05/21,0.54,0.549,0.534,0.539,0.539,123870,Grupo_Famsa
06/05/21,0.537,0.54,0.53,0.535,0.535,32296,Grupo_Famsa
07/05/21,0.533,0.542,0.533,0.537,0.537,95249,Grupo_Famsa
10/05/21,0.536,0.536,0.52,0.523,0.523,90859,Grupo_Famsa
11/05/21,0.519,0.519,0.49,0.499,0.499,165619,Grupo_Famsa
12/05/21,0.499,0.499,0.49,0.492,0.492,72940,Grupo_Famsa
13/05/21,0.492,0.495,0.488,0.495,0.495,223493,Grupo_Famsa
14/05/21,0.494,0.52,0.48,0.495,0.495,160940,Grupo_Famsa
17/05/21,0.48,0.493,0.48,0.49,0.49,54940,Grupo_Famsa
18/05/21,0.483,0.49,0.483,0.49,0.49,19962,Grupo_Famsa
19/05/21,0.49,0.49,0.483,0.485,0.485,114984,Grupo_Famsa
20/05/21,0.484,0.49,0.484,0.485,0.485,33525,Grupo_Famsa
21/05/21,0.485,0.485,0.45,0.465,0.465,81151,Grupo_Famsa
24/05/21,0.474,0.474,0.47,0.472,0.472,18013,Grupo_Famsa
25/05/21,0.472,0.474,0.468,0.468,0.468,29888,Grupo_Famsa
